country name,postcode,
UK,BD15,"""BD15"","
UK,BD16,"""BD16"","
UK,BD17,"""BD17"","
UK,BD18,"""BD18"","
UK,BD19,"""BD19"","
UK,BD2,"""BD2"","
UK,BD20,"""BD20"","
UK,BD21,"""BD21"","
UK,BD22,"""BD22"","
UK,BD23,"""BD23"","
UK,BD24,"""BD24"","
UK,BD3,"""BD3"","
UK,BD4,"""BD4"","
UK,BD5,"""BD5"","
UK,BD6,"""BD6"","
UK,BD7,"""BD7"","
UK,BD8,"""BD8"","
UK,BD9,"""BD9"","
UK,BD97,"""BD97"","
UK,BD98,"""BD98"","
UK,BD99,"""BD99"","
UK,BL0,"""BL0"","
UK,BL1,"""BL1"","
UK,BL11,"""BL11"","
UK,BL2,"""BL2"","
UK,BL3,"""BL3"","
UK,BL4,"""BL4"","
UK,BL5,"""BL5"","
UK,BL6,"""BL6"","
UK,BL7,"""BL7"","
UK,BL78,"""BL78"","
UK,BL8,"""BL8"","
UK,BL9,"""BL9"","
UK,CA1,"""CA1"","
UK,CA10,"""CA10"","
UK,CA11,"""CA11"","
UK,CA12,"""CA12"","
UK,CA13,"""CA13"","
UK,CA14,"""CA14"","
UK,CA15,"""CA15"","
UK,CA16,"""CA16"","
UK,CA17,"""CA17"","
UK,CA18,"""CA18"","
UK,CA19,"""CA19"","
UK,CA2,"""CA2"","
UK,CA20,"""CA20"","
UK,CA21,"""CA21"","
UK,CA22,"""CA22"","
UK,CA23,"""CA23"","
UK,CA24,"""CA24"","
UK,CA25,"""CA25"","
UK,CA26,"""CA26"","
UK,CA27,"""CA27"","
UK,CA28,"""CA28"","
UK,CA3,"""CA3"","
UK,CA4,"""CA4"","
UK,CA5,"""CA5"","
UK,CA6,"""CA6"","
UK,CA7,"""CA7"","
UK,CA8,"""CA8"","
UK,CA9,"""CA9"","
UK,CA95,"""CA95"","
UK,CA99,"""CA99"","
UK,CH1,"""CH1"","
UK,CH2,"""CH2"","
UK,CH25,"""CH25"","
UK,CH26,"""CH26"","
UK,CH27,"""CH27"","
UK,CH28,"""CH28"","
UK,CH29,"""CH29"","
UK,CH3,"""CH3"","
UK,CH30,"""CH30"","
UK,CH31,"""CH31"","
UK,CH32,"""CH32"","
UK,CH34,"""CH34"","
UK,CH33,"""CH33"","
UK,CH4,"""CH4"","
UK,CH41,"""CH41"","
UK,CH42,"""CH42"","
UK,CH43,"""CH43"","
UK,CH44,"""CH44"","
UK,CH45,"""CH45"","
UK,CH46,"""CH46"","
UK,CH47,"""CH47"","
UK,CH48,"""CH48"","
UK,CH49,"""CH49"","
UK,CH5,"""CH5"","
UK,CH6,"""CH6"","
UK,CH60,"""CH60"","
UK,CH61,"""CH61"","
UK,CH62,"""CH62"","
UK,CH63,"""CH63"","
UK,CH64,"""CH64"","
UK,CH65,"""CH65"","
UK,CH66,"""CH66"","
UK,CH7,"""CH7"","
UK,CH70,"""CH70"","
UK,CH8,"""CH8"","
UK,CH88,"""CH88"","
UK,CH99,"""CH99"","
UK,CW1,"""CW1"","
UK,CW10,"""CW10"","
UK,CW11,"""CW11"","
UK,CW12,"""CW12"","
UK,CW2,"""CW2"","
UK,CW3,"""CW3"","
UK,CW4,"""CW4"","
UK,CW5,"""CW5"","
UK,CW6,"""CW6"","
UK,CW7,"""CW7"","
UK,CW8,"""CW8"","
UK,CW9,"""CW9"","
UK,CW98,"""CW98"","
UK,FY0,"""FY0"","
UK,FY1,"""FY1"","
UK,FY2,"""FY2"","
UK,FY3,"""FY3"","
UK,FY4,"""FY4"","
UK,FY5,"""FY5"","
UK,FY6,"""FY6"","
UK,FY7,"""FY7"","
UK,FY8,"""FY8"","
UK,HD1,"""HD1"","
UK,HD2,"""HD2"","
UK,HD3,"""HD3"","
UK,HD4,"""HD4"","
UK,HD5,"""HD5"","
UK,HD6,"""HD6"","
UK,HD7,"""HD7"","
UK,HD8,"""HD8"","
UK,HD9,"""HD9"","
UK,HX1,"""HX1"","
UK,HX2,"""HX2"","
UK,HX3,"""HX3"","
UK,HX4,"""HX4"","
UK,HX5,"""HX5"","
UK,HX6,"""HX6"","
UK,HX7,"""HX7"","
UK,L1,"""L1"","
UK,L10,"""L10"","
UK,L11,"""L11"","
UK,L12,"""L12"","
UK,L13,"""L13"","
UK,L14,"""L14"","
UK,L15,"""L15"","
UK,L16,"""L16"","
UK,L17,"""L17"","
